"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Black Swan","Cygnus atratus",,"Stanislas Wroza",2020-01-25,13:00,"La Celle-les-Bordes, Yvelines, Île-de-France",France,48.637,1.9503,130,"alarm call, call, song","

bird-seen:yes

playback-used:no",,522572,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Swan","Cygnus atratus",,"Stanislas Wroza",2020-01-25,13:00,"La Celle-les-Bordes, Yvelines, Île-de-France",France,48.637,1.9503,130,"flight call","

bird-seen:yes

playback-used:no",,522571,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mute Swan","Cygnus olor",,"Tanguy Loïs",2020-06-23,21:00,"Forêt Domaniale de Rambouillet (near  Les Bréviaires), Yvelines, Île-de-France",France,48.725,1.8083,170,call,"

bird-seen:yes

playback-used:no",,570982,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mute Swan","Cygnus olor",,"Stanislas Wroza",2019-05-31,06:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"alarm call","

bird-seen:yes

playback-used:no",,477929,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mute Swan","Cygnus olor",,"julien Rochefort",2016-03-24,12:30,"Jaulnes, Seine-et-Marne, Île-de-France",France,48.44,3.2828,50,"Wing beats., flight call","Two birds in flight. Wing beats and grunts.

bird-seen:yes

playback-used:no",,309192,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mute Swan","Cygnus olor",,"julien Rochefort",2006-09-05,08:30,"Forêt de Sénart (near  Draveil), Essonne, Île-de-France",France,48.6741,2.4511,90,"5 birds., Wing noise in flight","

bird-seen:yes

playback-used:no",,144589,//creativecommons.org/licenses/by-nc-sa/3.0/
"Wood Duck","Aix sponsa",,"Stanislas Wroza",2020-01-25,13:00,"La Celle-les-Bordes, Yvelines, Île-de-France",France,48.637,1.9503,130,"call, flight call","Feral population

bird-seen:yes

playback-used:no",,522565,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mandarin Duck","Aix galericulata",,"Tanguy Loïs",2021-06-02,17:00,"Hermeray, Yvelines, Île-de-France",France,48.6369,1.7193,160,"female, flight call, male","

bird-seen:yes

playback-used:no",,654203,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mandarin Duck","Aix galericulata",,"Tanguy Loïs",2021-02-14,08:00,"Raizeux, Yvelines, Île-de-France",France,48.6373,1.6851,130,"flight call","

bird-seen:yes

playback-used:no",,621514,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mandarin Duck","Aix galericulata",,"Stanislas Wroza",2020-03-02,19:30,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"female, flight call","

bird-seen:yes

playback-used:no",,531600,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mandarin Duck","Aix galericulata",,"Stanislas Wroza",2020-02-23,19:00,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"female, flight call, male, one pair","

bird-seen:yes

playback-used:no",,530034,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mandarin Duck","Aix galericulata",,"Stanislas Wroza",2020-01-25,13:00,"La Celle-les-Bordes, Yvelines, Île-de-France",France,48.637,1.9503,130,"""chouit"" call and grunt, alarm call, call","Feral population

bird-seen:yes

playback-used:no",,522568,//creativecommons.org/licenses/by-nc-sa/4.0/
"Ringed Teal","Callonetta leucophrys",,"Stanislas Wroza",2020-01-25,13:00,"La Celle-les-Bordes, Yvelines, Île-de-France",France,48.637,1.9503,130,call,"Feral population

bird-seen:yes

playback-used:no",,522569,//creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"julien Rochefort",2021-04-21,03:19,"Forêt de Sénart (near  Montgeron), Essonne, Île-de-France",France,48.6825,2.4771,90,"call, nocturnal flight call","

bird-seen:no

playback-used:no",,641561,//creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Stanislas Wroza",2021-01-13,08:00,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"call, female, flight call, male","

bird-seen:yes

playback-used:no",,616021,//creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Stanislas Wroza",2021-01-11,18:00,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"call, female, laughter","

bird-seen:yes

playback-used:no",,615312,//creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Stanislas Wroza",2021-01-11,18:00,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"call, quacking","

bird-seen:yes

playback-used:no",,615307,//creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Stanislas Wroza",2020-05-05,02:00,"Chavenay, Yvelines, Île-de-France",France,48.845,1.9989,80,"""ti-di"", flight call, nocturnal flight call","

bird-seen:no

playback-used:no",,557182,//creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Stanislas Wroza",2020-04-01,03:00,"Chavenay, Yvelines, Île-de-France",France,48.845,1.9989,80,"female, flight call, male, nocturnal flight call","Sound trap

bird-seen:no

playback-used:no",,542919,//creativecommons.org/licenses/by-nc-sa/4.0/
