"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Little Owl","Athene noctua",,"Stanislas Wroza",2020-03-14,20:30,"Fontenay-Saint-Père, Yvelines, Île-de-France",France,49.0083,1.7567,90,"call, song, we-hoo","

bird-seen:no

playback-used:no",,535444,//creativecommons.org/licenses/by-nc-sa/4.0/
"Long-eared Owl","Asio otus",,"Stanislas Wroza",2020-04-01,02:30,"Villepreux, Yvelines, Île-de-France",France,48.8441,2.0031,80,"grunt, song, wing clapping","

bird-seen:no

playback-used:no",,540507,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Hoopoe","Upupa epops",,"Stanislas Wroza",2020-05-18,06:00,"Fontainebleau, Seine-et-Marne, Île-de-France",France,48.3914,2.5971,130,"call, flight call, raspy call","

bird-seen:yes

playback-used:no",,560380,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Hoopoe","Upupa epops",,"Stanislas Wroza",2020-05-18,06:00,"Fontainebleau, Seine-et-Marne, Île-de-France",France,48.3914,2.5971,130,song,"

bird-seen:yes

playback-used:no",,560378,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2021-12-19,09:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"diving, flight call, watersplash","

bird-seen:yes

playback-used:no",,692350,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2021-12-19,09:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"flight call","

bird-seen:yes

playback-used:no",,692349,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2021-12-19,09:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,call,"

bird-seen:yes

playback-used:no",,692348,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2021-12-19,09:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,call,"

bird-seen:yes

playback-used:no",,692347,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2020-11-29,08:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"flight call","

bird-seen:yes

playback-used:no",,606353,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2019-11-17,09:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"flight call","

bird-seen:yes

playback-used:no",,522991,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2019-11-24,08:30,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"alarm call, flight call","

bird-seen:yes

playback-used:no",,522821,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2019-11-24,08:30,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"alarm call, flight call","

bird-seen:yes

playback-used:no",,522820,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2019-11-24,08:30,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"alarm call, rolled calls","

bird-seen:yes

playback-used:no",,522819,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kingfisher","Alcedo atthis",,"Stanislas Wroza",2019-08-03,06:30,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"flight call","

bird-seen:yes

playback-used:no",,490838,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",,"Stanislas Wroza",2021-01-10,08:00,"Saint-Léger-en-Yvelines, Yvelines, Île-de-France",France,48.7386,1.7174,130,call,"

bird-seen:yes

playback-used:no",,614213,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",,"Stanislas Wroza",2020-03-28,10:00,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8205,2.1781,130,song,"

bird-seen:yes

playback-used:no",,539358,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",,"Stanislas Wroza",2020-03-07,07:00,"Rambouillet, Yvelines, Île-de-France",France,48.6647,1.8492,170,call,"

bird-seen:yes

playback-used:no",,533721,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",,"Stanislas Wroza",2020-03-07,07:00,"Rambouillet, Yvelines, Île-de-France",France,48.6647,1.8492,170,"alarm call, call, excitement call, flight call","

bird-seen:yes

playback-used:no",,533719,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",,"Stanislas Wroza",2020-03-07,07:00,"Rambouillet, Yvelines, Île-de-France",France,48.6647,1.8492,170,song,"

bird-seen:yes

playback-used:no",,533716,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",,"Stanislas Wroza",2020-01-25,09:00,"Dampierre-en-Yvelines, Yvelines, Île-de-France",France,48.7129,1.9794,100,"flight call, wing beats","

bird-seen:yes

playback-used:no",,522596,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",,"Stanislas Wroza",2018-06-10,06:00,"Saint-Forget, Yvelines, Île-de-France",France,48.7146,1.9772,100,"call, male","

bird-seen:yes

playback-used:no",,419883,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",medius,"Étienne Leroy",2018-04-03,11:00,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",France,48.7426,1.7586,170,call,"

bird-seen:yes

playback-used:no",,408949,//creativecommons.org/licenses/by-nc-sa/4.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",medius,"julien Rochefort",2013-08-12,09:00,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",France,48.7426,1.7586,170,"calls in flight.","Faint and ""intimate"" calls during a short flight.

bird-seen:yes

playback-used:no",,147108,//creativecommons.org/licenses/by-nc-sa/3.0/
"Middle Spotted Woodpecker","Dendrocoptes medius",medius,"julien Rochefort",2013-09-05,09:00,"Forêt de Sénart (near  Montgeron), Essonne, Île-de-France",France,48.6825,2.4771,80,call,"Classic calls of adult. The first note a little higher than the others.

bird-seen:yes

playback-used:no",,147107,//creativecommons.org/licenses/by-nc-sa/3.0/
"Lesser Spotted Woodpecker","Dryobates minor",hortorum,"julien Rochefort",2016-02-25,11:00,"Forêt de Fontainebleau (near  Fontainebleau), Seine-et-Marne, Île-de-France",France,48.3727,2.6147,140,song,"Bird far away but focused in my parabola.",,304815,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Tanguy Loïs",2021-02-14,08:00,"Raizeux, Yvelines, Île-de-France",France,48.6373,1.6851,130,drumming,"

bird-seen:yes

playback-used:no","Dendrocoptes medius,Cyanistes caeruleus",621517,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Tanguy Loïs",2020-06-10,10:30,"Raizeux, Yvelines, Île-de-France",France,48.6218,1.6945,140,"begging call","

bird-seen:no

playback-used:no","Sylvia atricapilla,Cuculus canorus",567032,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Steve Hampton",2019-07-11,08:00,"Gennevilliers, Hauts-de-Seine, Île-de-France",France,48.936,2.3098,30,call,"

bird-seen:yes

playback-used:no",,545027,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Stanislas Wroza",2020-03-20,06:30,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8205,2.1781,130,"alarm call, call, flight call, interaction calls, rattles","

bird-seen:yes

playback-used:no",,536323,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Stanislas Wroza",2020-03-18,07:00,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8196,2.1885,150,drumming,"

bird-seen:yes

playback-used:no",,535698,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Stanislas Wroza",2020-03-18,07:00,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8196,2.1885,150,"alarm call, call, interaction calls","

bird-seen:yes

playback-used:no",,535696,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Stanislas Wroza",2018-03-25,08:30,"Gambaiseuil, Yvelines, Île-de-France",France,48.7439,1.7016,130,"alarm call, flight call, nuptial calls","

bird-seen:yes

playback-used:no",,407312,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Fernand DEROUSSEN",2011-01-30,11:30,"Paris, Paris, Île-de-France",France,48.826,2.4252,50,call,"5em ind

bird-seen:yes

playback-used:no",,143094,//creativecommons.org/licenses/by-nc-nd/3.0/
"Great Spotted Woodpecker","Dendrocopos major",,"Fernand DEROUSSEN",2013-06-14,08:00,"Paris, Paris, Île-de-France",France,48.8277,2.4239,50,"call, juvenile","nest

bird-seen:yes

playback-used:no",,138383,//creativecommons.org/licenses/by-nc-nd/3.0/
"Black Woodpecker","Dryocopus martius",,"Stanislas Wroza",2021-01-31,08:00,"Arbonne-la-Forêt, Seine-et-Marne, Île-de-France",France,48.3956,2.5802,80,"""peough"" call, call, flight call, song","

bird-seen:yes

playback-used:no",,618989,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Woodpecker","Dryocopus martius",,"Stanislas Wroza",2020-05-18,06:00,"Fontainebleau, Seine-et-Marne, Île-de-France",France,48.3914,2.5971,130,drumming,"

bird-seen:yes

playback-used:no",,560391,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Woodpecker","Dryocopus martius",,"Stanislas Wroza",2020-05-18,06:00,"Fontainebleau, Seine-et-Marne, Île-de-France",France,48.3914,2.5971,130,"nasal song, song","

bird-seen:yes

playback-used:no",,560389,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Woodpecker","Dryocopus martius",,"Stanislas Wroza",2020-01-25,09:00,"Dampierre-en-Yvelines, Yvelines, Île-de-France",France,48.7129,1.9794,100,"flight call","

bird-seen:yes

playback-used:no",,522597,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Woodpecker","Dryocopus martius",,"Stanislas Wroza",2019-02-23,08:00,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",France,48.3941,2.577,70,song,"

bird-seen:yes

playback-used:no",,458940,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Green Woodpecker","Picus viridis",,"Stanislas Wroza",2021-09-03,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"flight call","

bird-seen:yes

playback-used:no",,672878,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Green Woodpecker","Picus viridis",,"Stanislas Wroza",2021-08-25,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"flight call","

bird-seen:yes

playback-used:no",,670768,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Green Woodpecker","Picus viridis",,"Stanislas Wroza",2019-12-30,08:30,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"alarm call, flight call, interaction call","

bird-seen:yes

playback-used:no",,519533,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Green Woodpecker","Picus viridis",,"Stanislas Wroza",2018-11-24,16:00,"Freneuse, Yvelines, Île-de-France",France,49.0705,1.6236,10,"alarm call, call, interaction calls, mating calls, song","

bird-seen:yes

playback-used:no",,443434,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kestrel","Falco tinnunculus",,"Stanislas Wroza",2021-09-01,09:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"call, various calls","

bird-seen:no

playback-used:no",,672835,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kestrel","Falco tinnunculus",,"Stanislas Wroza",2021-09-01,09:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"call, various calls","

bird-seen:no

playback-used:no",,672834,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kestrel","Falco tinnunculus",,"Stanislas Wroza",2019-09-11,08:30,"Aerodrome of Toussus-le-Noble (near  Toussus-le-Noble), Yvelines, Île-de-France",France,48.7568,2.1152,150,"flight call","

bird-seen:yes

playback-used:no",,526971,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kestrel","Falco tinnunculus",,"Stanislas Wroza",2019-08-16,07:00,"Parc de Saint-Cloud (near  Saint-Cloud), Hauts-de-Seine, Île-de-France",France,48.8306,2.1999,130,call,"

bird-seen:yes

playback-used:no",,496588,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Kestrel","Falco tinnunculus",tinnunculus,"Marie-Lan Taÿ Pamart",2019-07-07,20:00,"Trilbardou, Seine-et-Marne, Île-de-France",France,48.939,2.7905,50,"alarm call, flight call, male","Male kestrel calling in flight above a field.

Background noises: bugs, airplane

Distance: >40m

Equipment: Tascam DR-100mkIII + Sennheiser ME66/K6 + Rycote Super Softie

Edits: -6dB high-pass filter at 1500Hz

bird-seen:yes

playback-used:no",,485216,//creativecommons.org/licenses/by-sa/4.0/
"Peregrine Falcon","Falco peregrinus",,"Stanislas Wroza",2020-05-31,17:00,"Haute-Isle, Val-d'Oise, Île-de-France",France,49.0801,1.6729,60,"flight call, juvenile, male","

bird-seen:yes

playback-used:no",,563852,//creativecommons.org/licenses/by-nc-sa/4.0/
"Alexandrine Parakeet","Psittacula eupatria",,"Stanislas Wroza",2021-03-14,07:30,"Antony, Hauts-de-Seine, Île-de-France",France,48.7467,2.2898,60,"Chasing a Grey heron, flight call","

bird-seen:yes

playback-used:no",,628902,//creativecommons.org/licenses/by-nc-sa/4.0/
"Alexandrine Parakeet","Psittacula eupatria",,"Stanislas Wroza",2021-03-14,07:30,"Antony, Hauts-de-Seine, Île-de-France",France,48.7467,2.2898,60,"among a flock of Rose-ringed Parakeet, flight call","

bird-seen:yes

playback-used:no","Psittacula krameri",628892,//creativecommons.org/licenses/by-nc-sa/4.0/
"Alexandrine Parakeet","Psittacula eupatria",,"Stanislas Wroza",2021-03-14,07:30,"Antony, Hauts-de-Seine, Île-de-France",France,48.7467,2.2898,60,"""Gull-billed tern-like"" calls, call","

bird-seen:yes

playback-used:no","Psittacula krameri",628891,//creativecommons.org/licenses/by-nc-sa/4.0/
"Alexandrine Parakeet","Psittacula eupatria",,"Stanislas Wroza",2021-03-14,07:30,"Antony, Hauts-de-Seine, Île-de-France",France,48.7467,2.2898,60,"call, simple calls","

bird-seen:yes

playback-used:no","Psittacula krameri",628888,//creativecommons.org/licenses/by-nc-sa/4.0/
"Alexandrine Parakeet","Psittacula eupatria",,"Stanislas Wroza",2021-03-14,07:30,"Antony, Hauts-de-Seine, Île-de-France",France,48.7467,2.2898,60,"call, series of calls, song","

bird-seen:yes

playback-used:no",,628885,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Stanislas Wroza",2020-11-07,08:30,"Place du Théâtre - Marche Saint-Romain (near  Sèvres), Hauts-de-Seine, Île-de-France",France,48.8235,2.2112,50,"call, song, various calls","

bird-seen:yes

playback-used:no",,600866,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Stanislas Wroza",2018-03-17,09:00,"Marly-le-Roi, Yvelines, Île-de-France",France,48.8688,2.0913,130,"flight call","

bird-seen:yes

playback-used:no",,535796,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Cedric Mroczko",2020-03-08,12:30,"Ivry-sur-Seine, Val-de-Marne, Île-de-France",France,48.8104,2.3669,60,call,"High-pass filtered (1000Hz, 6dB)

bird-seen:yes

playback-used:no","Psittacula krameri,Chloris chloris",534454,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Stanislas Wroza",2019-12-29,08:00,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"flight call","

bird-seen:yes

playback-used:no",,522616,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Stanislas Wroza",2019-12-29,08:00,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"aberrant, call","

bird-seen:yes

playback-used:no",,522614,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Marie-Lan Taÿ Pamart",2020-01-04,16:00,"Jardin des Plantes (near  Paris), Arrondissement de Paris, Île-de-France",France,48.8433,2.361,30,"adult, call, sex uncertain","Group of birds foraging in a public park.

Distance: >20m

Equipment: Dodotronic HiSound Stéréo AOM5024L parabola + Olympus LS-12

bird-seen:yes

playback-used:no",,516404,//creativecommons.org/licenses/by-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Marie-Lan Taÿ Pamart",2020-01-04,16:00,"Jardin des Plantes (near  Paris), Arrondissement de Paris, Île-de-France",France,48.8433,2.361,30,"adult, flight call, sex uncertain","Group of birds foraging in a public park.

Distance: >20m

Equipment: Dodotronic HiSound Stéréo AOM5024L parabola + Olympus LS-12

bird-seen:yes

playback-used:no",,516402,//creativecommons.org/licenses/by-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Marie-Lan Taÿ Pamart",2019-12-05,14:00,"Garden of the botanical school (near  Paris), Arrondissement de Paris, Île-de-France",France,48.8435,2.3594,40,"adult, call, flight call, sex uncertain","Bird foraging in a plane tree, then flying away.

Distance: >5m

Equipment: Tascam DR-100mkIII + Sennheiser ME66/K6 + Rycote Super Softie

Edits: none

bird-seen:yes

playback-used:no",,510543,//creativecommons.org/licenses/by-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Stanislas Wroza",2019-05-18,13:00,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8196,2.1885,150,"flight call","

bird-seen:yes

playback-used:no",,475255,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Marie-Lan Taÿ Pamart",2019-05-15,15:30,"Botanical school, Jardin des Plantes, Paris, Île-de-France",France,48.8435,2.3594,40,call,"Bird calling from a tree in a public park.

Distance: <5m

Edits: -6dB high-pass filter at 1500Hz, +5dB amplification

Equipment: Sennheiser ME66/K6, Rycote Windjammer, Tascam DR-05

bird-seen:yes

playback-used:no",,474519,//creativecommons.org/licenses/by-sa/4.0/
"Rose-ringed Parakeet","Psittacula krameri",,"Fernand DEROUSSEN",2011-01-30,08:30,"Paris, Paris, Île-de-France",France,48.8264,2.4144,50,call,"

bird-seen:yes

playback-used:no",,143088,//creativecommons.org/licenses/by-nc-nd/3.0/
"Red-backed Shrike","Lanius collurio",,"Stanislas Wroza",2020-05-18,06:00,"Fontainebleau, Seine-et-Marne, Île-de-France",France,48.3914,2.5971,130,"""djienw"", call","

bird-seen:yes

playback-used:no",,560419,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-backed Shrike","Lanius collurio",,"Stanislas Wroza",2020-05-18,06:00,"Fontainebleau, Seine-et-Marne, Île-de-France",France,48.3914,2.5971,130,"""djienw"", call","

bird-seen:yes

playback-used:no",,560417,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-backed Shrike","Lanius collurio",,"Stanislas Wroza",2020-05-02,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,call,"

bird-seen:no

playback-used:no",,553265,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-backed Shrike","Lanius collurio",,"Stanislas Wroza",2019-05-19,07:00,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",France,48.3941,2.577,70,"call, flight call","

bird-seen:yes

playback-used:no",,476919,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Golden Oriole","Oriolus oriolus",,"Tanguy Loïs",2020-06-16,16:00,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,song,"

bird-seen:no

playback-used:no","Fringilla coelebs",568960,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Golden Oriole","Oriolus oriolus",,"Stanislas Wroza",2020-05-24,06:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"""ki-zieeh"", call, flight call","

bird-seen:yes

playback-used:no",,561748,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Golden Oriole","Oriolus oriolus",,"Stanislas Wroza",2020-05-24,06:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"""falcon calls"", ""ki-ki-ki-, ""ki-zieeh"", ""squeaky call"", call, flight call","

bird-seen:yes

playback-used:no",,561746,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Golden Oriole","Oriolus oriolus",,"Stanislas Wroza",2020-05-22,05:30,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"""ki-zieeh"", call, flight call","

bird-seen:yes

playback-used:no",,560962,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Jay","Garrulus glandarius",,"Tanguy Loïs",2021-04-08,08:00,"Forêt Domaniale de Rambouillet (near  Les Bréviaires), Yvelines, Île-de-France",France,48.725,1.8083,170,"aberrant, call, flight call","

bird-seen:yes

playback-used:no","Branta canadensis,Fulica atra",637066,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Jay","Garrulus glandarius",,"Tanguy Loïs",2020-02-20,11:00,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,call,"

bird-seen:yes

playback-used:no","Prunella modularis",528731,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Jay","Garrulus glandarius",,"Stanislas Wroza",2019-12-28,09:00,"Gambaiseuil, Yvelines, Île-de-France",France,48.7549,1.725,150,"call, interaction call","

bird-seen:yes

playback-used:no",,522652,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Jay","Garrulus glandarius",,"Stanislas Wroza",2020-01-25,09:00,"Dampierre-en-Yvelines, Yvelines, Île-de-France",France,48.7129,1.9794,100,"call, mimicry","

bird-seen:yes

playback-used:no",,522579,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Jay","Garrulus glandarius",,"Stanislas Wroza",2019-03-30,07:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,call,"

bird-seen:yes

playback-used:no",,464111,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Jay","Garrulus glandarius",,"Fernand Deroussen",1993-03-12,09:30,"Forêt Domaniale de Rambouillet (near  Saint-Léger-en-Yvelines), Yvelines, Île-de-France",France,48.7427,1.7702,160,"alarm call","

bird-seen:yes

playback-used:no",,161533,//creativecommons.org/licenses/by-nc-nd/3.0/
"Eurasian Magpie","Pica pica",,"Stanislas Wroza",2020-12-07,22:00,"Le Mesnil-Saint-Denis, Yvelines, Île-de-France",France,48.7538,1.9628,170,"call, sneezing","

bird-seen:yes

playback-used:no",,608179,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Magpie","Pica pica",,"Tanguy Loïs",2020-06-11,10:00,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,call,"

bird-seen:yes

playback-used:no","Passer domesticus,Erithacus rubecula",567252,//creativecommons.org/licenses/by-nc-sa/4.0/
"Western Jackdaw","Coloeus monedula",,"Stanislas Wroza",2021-09-03,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"alarm call, call, flight call, various calls","Mixed corvid flock

bird-seen:yes

playback-used:no",,672868,//creativecommons.org/licenses/by-nc-sa/4.0/
"Western Jackdaw","Coloeus monedula",,"Stanislas Wroza",2021-09-03,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"alarm call, call, flight call, various calls","

bird-seen:yes

playback-used:no",,672866,//creativecommons.org/licenses/by-nc-sa/4.0/
"Western Jackdaw","Coloeus monedula",,"Stanislas Wroza",2020-05-02,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"flight call, short calls, single bird","

bird-seen:yes

playback-used:no",,553174,//creativecommons.org/licenses/by-nc-sa/4.0/
"Western Jackdaw","Coloeus monedula",,"Tanguy Loïs",2020-02-19,09:30,"Saint-Hilarion, Yvelines, Île-de-France",France,48.622,1.7106,140,call,"

bird-seen:yes

playback-used:no","Erithacus rubecula",528672,//creativecommons.org/licenses/by-nc-sa/4.0/
"Western Jackdaw","Coloeus monedula",,"Tanguy Loïs",2020-02-18,16:30,"Raizeux, Yvelines, Île-de-France",France,48.638,1.6847,130,call,"

bird-seen:yes

playback-used:no","Erithacus rubecula",528656,//creativecommons.org/licenses/by-nc-sa/4.0/
Rook,"Corvus frugilegus",,"Stanislas Wroza",2021-09-03,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"flight call","

bird-seen:yes

playback-used:no",,672869,//creativecommons.org/licenses/by-nc-sa/4.0/
Rook,"Corvus frugilegus",,"julien Rochefort",2004-02-14,09:44,"Savigny-sur-Orge, Essonne, Île-de-France",France,48.6741,2.4511,90,"flight call","

bird-seen:yes

playback-used:no",,633576,//creativecommons.org/licenses/by-nc-sa/4.0/
Rook,"Corvus frugilegus",,"julien Rochefort",2007-08-26,09:44,"Gif sur Yvette - Mairie (near  Gif-sur-Yvette), Essonne, Île-de-France",France,48.6741,2.4511,90,"flight call","

bird-seen:yes

playback-used:no",,633575,//creativecommons.org/licenses/by-nc-sa/4.0/
"Carrion Crow","Corvus corone",corone,"Tanguy Loïs",2020-10-28,07:30,"Raizeux, Yvelines, Île-de-France",France,48.6207,1.6713,150,uncertain,"

bird-seen:yes

playback-used:no","Erithacus rubecula",598490,//creativecommons.org/licenses/by-nc-sa/4.0/
"Carrion Crow","Corvus corone",,"Jack Berteau",2020-02-22,12:30,"Square Suzanne Buisson (near  Paris), Arrondissement de Paris, Île-de-France",France,48.8882,2.3374,110,call,"

bird-seen:yes

playback-used:no",,592894,//creativecommons.org/licenses/by-nc-sa/4.0/
"Carrion Crow","Corvus corone",,"Tanguy Loïs",2020-07-07,22:30,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,call,"

bird-seen:yes

playback-used:no",,574201,//creativecommons.org/licenses/by-nc-sa/4.0/
"Carrion Crow","Corvus corone",,"Stanislas Wroza",2020-05-05,02:00,"Chavenay, Yvelines, Île-de-France",France,48.845,1.9989,80,"flight call, nocturnal flight call","

bird-seen:no

playback-used:no",,557194,//creativecommons.org/licenses/by-nc-sa/4.0/
"Carrion Crow","Corvus corone",,"Stanislas Wroza",2020-04-09,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,call,"Sound trap

bird-seen:no

playback-used:no",,544406,//creativecommons.org/licenses/by-nc-sa/4.0/
"Carrion Crow","Corvus corone",,"Stanislas Wroza",2020-04-09,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"call, flat song, song","Sound trap

bird-seen:no

playback-used:no",,544405,//creativecommons.org/licenses/by-nc-sa/4.0/
